Week,Item Name,Quantity
week 3,Kirkland Signature Three Berry Blend 4 lbs,0
week 3,Thomas' Bagels Everything 12 ct,0
week 3,Thomas' Bagels Plain 12 ct,0
week 3,Kirkland Signature Non Fat Milk 1 Gallon,5
week 3,Kerrygold Pure Irish Butter Salted 8 oz 4 ct,2
week 3,Kirkland Signature Plastic Cold Cup Red 18 oz 240 ct,4
week 3,Kirkland Signature Organic Greek Nonfat Yogurt Plain 3 lbs,10
week 3,Honeycrisp Apples 5 lbs,1
week 3,Quaker Instant Oatmeal Variety Pack 1.51 oz 52 ct,2
week 3,Solo Plastic Fork Heavyweight White 500 ct,1
week 3,Chobani Blended Greek Yogurt Vanilla 40 oz,17
week 3,La Banderita 10" Flour Tortillas 20 ct,3
week 3,Chosen Foods Avocado Oil Spray 13.5 oz 2 ct,1
week 3,Famous Amos Cookies Chocolate Chip 2 oz 42 ct,3
week 3,Sue Bee Pure Honey Midwest Raw Unfiltered Honey 80 oz,1
week 3,Kirkland Signature Fully-Cooked Bacon Hickory Wood Smoked 1 lb,6
week 3,Dixie Ultra Paper Plate 8-1/2" 240 ct,3
week 3,Kirkland Signature Outdoor Trash Bags 50 Gallon 70 ct,1
week 3,Miss Vickie’s Kettle Cooked Potato Chips Variety Pack 1-3/8 oz 30 ct,4
week 3,Kirkland Signature Lightly Breaded Chicken Breast Chunks 4 lbs,16
week 3,Kellogg's Cereal Mini Boxes Variety Pack 25 ct,5
week 3,Dial Antibacterial Foaming Hand Wash + Aloe Spring Water Scent 7.5 fl oz 4 ct,2
week 3,Bolthouse Farms 100% Orange Juice 52 fl oz 2 ct,3
week 3,Gourmia French Door XL Digital Air Fryer Oven Stainless Steel,1
week 3,Shredded Lettuce 5 lbs,1
week 3,Case Sale Jumbo Halal Chicken Breast Boneless Skinless 40 lbs,0
week 3,Kirkland Signature Ancient Grains Probiotic Granola 35.3 oz,3
week 3,Dunkin' Original Blend Ground Coffee Medium Roast 40 oz,1
week 3,Kinder's Organic Seasoning Bourbon Steak 12.4 oz,1
week 3,Dixie Ultra Paper Bowl 20 oz 135 ct,8
week 3,Kirkland Signature Whole Milk 1 Gallon,5
week 3,Cholula Hot Sauce Original 12 fl oz 2 ct,0
week 3,Premium Strawberries 2 lbs,8
week 3,Sweet Baby Ray's Barbecue Sauce 40 oz 2 ct,2
week 3,Limes 3 lbs,1
week 3,Bananas 3 lbs,8
week 3,Village Hearth Cottage White Bread 24 oz 2 ct,3
week 3,Hellmann's Real Mayonnaise 1 Gallon,1
week 3,Kirkland Signature 2-Ply Paper Towels 12 ct,3
week 3,PHILADELPHIA Cream Cheese Spread Original 48 oz,2
week 3,Large Eggs 15 Dozen,1
week 3,Raspberries 12 oz,5
week 3,Premium Blueberries 18 oz,6
week 3,Hidden Valley Ranch Homestyle Dressing 40 fl oz 2 ct,2
week 3,Mateo's Gourmet Salsa Medium 32 oz,2
week 3,Mixed Bell Peppers 6 ct,4
week 3,Extra Large Eggs 15 Dozen,1
week 3,Christopher Ranch Monviso Peeled Garlic 3 lbs,1
week 3,Kirkland Signature Organic Ground Beef 85% Lean 15% Fat 4 lbs,20
week 3,Avocados 6 ct,7
week 3,Kirkland Signature IQF Blueberries 5 lbs,1
week 3,Kirkland Signature Bath Tissue 30 ct,2
week 3,Cascade Dairy Mexican Four Cheese Blend Shredded 5 lbs,4
week 3,Kirkland Signature 2% Reduced Fat Milk 1 Gallon,5
week 3,Kirkland Signature Thai Hom Mali Jasmine Rice 50 lbs,1
week 3,Baking Potatoes 10 lbs,1
week 3,Kirkland Signature Medium Roast Coffee 2.5 lbs,1
week 3,Organic Baby Spinach 1 lb,1
week 3,Lea & Perrins Worcestershire Sauce 20 fl oz 2 ct,1
week 3,Kirkland Signature Microwave Popcorn 3.3 oz 44 ct,1
Week 2,Thomas' Bagels Plain 12 ct,0
Week 2,Kirkland Signature Organic Greek Nonfat Yogurt Plain 3 lbs,10
Week 2,Kirkland Signature Three Berry Blend 4 lbs,7
Week 2,Kerrygold Pure Irish Butter Salted 8 oz 4 ct,2
Week 2,Kirkland Signature Plastic Cold Cup Red 18 oz 240 ct,4
Week 2,Kirkland Signature Non Fat Milk 1 Gallon,5
Week 2,Honeycrisp Apples 5 lbs,1
Week 2,Quaker Instant Oatmeal Variety Pack 1.51 oz 52 ct,2
Week 2,Solo Plastic Spoon Heavyweight White 500 ct,1
Week 2,Solo Plastic Fork Heavyweight White 500 ct,1
Week 2,Kirkland Signature Tortilla Strips 48 oz,2
Week 2,La Banderita 10" Flour Tortillas 20 ct,3
Week 2,Chosen Foods Avocado Oil Spray 13.5 oz 2 ct,1
Week 2,Chobani Blended Greek Yogurt Vanilla 40 oz,17
Week 2,Famous Amos Cookies Chocolate Chip 2 oz 42 ct,3
Week 2,Sue Bee Pure Honey Midwest Raw Unfiltered Honey 80 oz,1
Week 2,Kirkland Signature Fully-Cooked Bacon Hickory Wood Smoked 1 lb,6
Week 2,Dixie Ultra Paper Plate 8-1/2" 240 ct,3
Week 2,Kirkland Signature Outdoor Trash Bags 50 Gallon 70 ct,1
Week 2,Miss Vickie’s Kettle Cooked Potato Chips Variety Pack 1-3/8 oz 30 ct,2
Week 2,Kirkland Signature Lightly Breaded Chicken Breast Chunks 4 lbs,16
Week 2,Kellogg's Cereal Mini Boxes Variety Pack 25 ct,5
Week 2,Dial Antibacterial Foaming Hand Wash + Aloe Spring Water Scent 7.5 fl oz 4 ct,2
Week 2,Bolthouse Farms 100% Orange Juice 52 fl oz 2 ct,3
Week 2,Kirkland Signature Whey Protein Powder Creamy Chocolate 5.4 lbs,1
Week 2,Shredded Lettuce 5 lbs,1
Week 2,Case Sale Jumbo Halal Chicken Breast Boneless Skinless 40 lbs,0
Week 2,Dunkin' Original Blend Ground Coffee Medium Roast 40 oz,1
Week 2,Kinder's Organic Seasoning Bourbon Steak 12.4 oz,1
Week 2,Kikkoman Soy Sauce 1 Gallon,1
Week 2,Kirkland Signature Ancient Grains Probiotic Granola 35.3 oz,3
Week 2,Cholula Hot Sauce Original 12 fl oz 2 ct,0
Week 2,Premium Strawberries 2 lbs,8
Week 2,Dixie Ultra Paper Bowl 20 oz 135 ct,8
Week 2,Kirkland Signature Whole Milk 1 Gallon,5
Week 2,Bananas 3 lbs,8
Week 2,Village Hearth Cottage White Bread 24 oz 2 ct,3
Week 2,Cara Cara Oranges 5 lbs,0
Week 2,Sweet Baby Ray's Barbecue Sauce 40 oz 2 ct,2
Week 2,Limes 3 lbs,1
Week 2,PHILADELPHIA Cream Cheese Spread Original 48 oz,2
Week 2,Large Eggs 15 Dozen,1
Week 2,Hellmann's Real Mayonnaise 1 Gallon,1
Week 2,Kirkland Signature 2-Ply Paper Towels White 160 Create-A-Size Sheets 12 ct,4
Week 2,Hidden Valley Ranch Homestyle Dressing 40 fl oz 2 ct,2
Week 2,Mateo's Gourmet Salsa Medium 32 oz,2
Week 2,Raspberries 12 oz,5
Week 2,Kirkland Signature Organic Ground Beef 85% Lean 15% Fat 4 lbs,20
Week 2,Mixed Bell Peppers 6 ct,4
Week 2,Extra Large Eggs 15 Dozen,1
Week 2,Kirkland Signature Bath Tissue 2-Ply 4.5" x 4" 380 Sheets 30 ct,2
Week 2,Cascade Dairy Mexican Four Cheese Blend Shredded 5 lbs,4
Week 2,Avocados 6 ct,7
Week 2,Kirkland Signature IQF Blueberries 5 lbs,1
Week 2,Baking Potatoes 10 lbs,1
Week 2,Kirkland Signature Medium Roast Coffee 2.5 lbs,1
Week 2,Kirkland Signature 2% Reduced Fat Milk 1 Gallon,5
Week 2,Log Cabin Original Syrup 1 Gallon,1
Week 2,Kirkland Signature Microwave Popcorn 3.3 oz 44 ct,1
Week 2,Organic Baby Spinach 1 lb,1
week 1,Kirkland Signature 1-Ply Paper Towels,4
week 1,Hidden Valley Ranch Homestyle Dressing and Topping,1
week 1,Mateo's Gourmet Salsa,1
week 1,Raspberries,5
week 1,Kirkland Signature Organic Ground Beef,10
week 1,Kirkland Signature Three Berry Blend,7
week 1,Thomas' Bagels Plain,7
week 1,Kirkland Signature Organic Greek Nonfat Yogurt,10
week 1,Kirkland Signature Non Fat Milk,5
week 1,Olde Thompson Himalayan Pink Salt,1
week 1,Kerrygold Pure Irish Butter Salted,1
week 1,Kirkland Signature Plastic Cold Cup,3
week 1,Wawona Festival Fruit Blend,1
